Dataset,"Random Forest",G-Forest,GAR-Forest
abalone,24.42,25.02,24.81
anneal,99.15,98.84,98.64
audiology,74.78,76.19,76.55
autos,76.40,73.08,75.03
balance-scale,84.32,86.72,85.41
breast-w,96.91,96.80,96.62
breast-y,71.05,71.54,70.91
bupa,68.53,66.03,66.44
car,92.64,96.23,96.28
credit-a,86.03,86.52,86.35
credit-g,75.10,74.24,74.54
crx,86.06,87.10,86.90
dna,95.10,94.88,94.97
ecoli,84.76,85.89,85.95
glass,76.17,72.43,74.58
heart-c,80.99,83.24,82.25
heart-h,81.70,80.48,80.20
heart-s,92.85,93.17,92.69
heart-statlog,83.26,83.11,82.07
heart-v,75.40,76.60,76.90
hepatitis,83.48,83.10,83.87
horse-colic,84.29,85.05,85.38
hypo,98.77,98.80,98.98
ionosphere,92.71,92.36,92.99
iris,94.67,95.20,94.93
kr-vs-kp,98.77,99.34,99.29
krk,78.61,77.16,79.88
labor,87.76,88.79,87.75
led-24,74.17,74.71,74.30
letter,95.07,95.36,95.50
lrd,87.19,87.27,87.83
lymphography,84.73,82.84,82.57
mushroom,100.00,100.00,100.00
nursery,97.45,99.15,99.35
optdigits,97.85,97.81,98.16
page,97.06,97.19,97.26
pendigits,98.97,98.97,99.07
phoneme,89.03,86.79,88.69
pima,75.76,75.86,76.35
primary,42.72,43.54,42.37
promoters,87.36,84.34,85.66
ringnorm,95.80,93.47,91.33
sat,90.89,90.41,90.99
segment,97.31,97.48,97.72
shuttle,99.98,99.97,99.98
sick,98.19,98.29,98.46
sonar,79.62,77.88,80.67
soybean-small,100.00,100.00,99.15
soybean,91.74,92.27,92.56
splice,95.66,96.00,95.38
threenorm,83.07,80.40,81.07
tic-tac-toe,91.11,94.95,96.56
twonorm,94.80,95.27,95.33
vehicle,74.11,75.30,75.37
vote1,90.80,91.63,91.31
voting,96.09,95.45,96.00
vowel-context,91.92,92.40,92.30
vowel-nocontext,92.00,91.96,92.22
waveform,84.89,85.81,85.38
yeast,59.62,60.66,60.84
zip,95.89,95.30,96.00
zoo,93.67,93.47,93.49